"study_id","fcs_files","cluster_id","label","fcs_names","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD25","CTLA-4","CD69","CD45RA","CD3","CD127","CD103","KI67","CD8","CD4","FOX-P3","TIME","fraction"
"Thymus","SDY1097/ResultFiles/Flow_cytometry_result/D107 Treg Stain 5-6-2014--Specimen_001_Thymus.622748.fcs","cluster148","CD103-|CD127+|CD25-|CD45RA+|CD8+|CTLA-4+|FOX-P3-","D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_Jejunum.623202.fcs",86814.28515625,76373,74626.16015625,26066.5849609375,24391.5,71982.25390625,1.39447057247162,2.44772803783417,3.21551537513733,6.22495889663696,2.87033295631409,2.1413346529007,-0.693130403757095,0.211119391024113,1.69707673788071,0.715778470039368,1.53650617599487,5968.80004882812,0.0156
"Thymus","SDY1097/ResultFiles/Flow_cytometry_result/D129 - New Treg Thymus Stain D129 10-25-2013--Specimen_001_Thy.622909.fcs","cluster148","CD103-|CD127+|CD25-|CD45RA+|CD8+|CTLA-4+|FOX-P3-","D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_MLN.623203.fcs",43972.388671875,36928.5,79646.3203125,18612.82421875,16245,73665.23828125,1.73242491483688,3.33167445659637,3.8875538110733,5.46593928337097,4.61498880386353,3.09897375106812,-1.06228697299957,1.79647296667099,3.96683931350708,1.29401499032974,2.11008703708649,18684.2998046875,0.0516
"Thymus","SDY1097/ResultFiles/Flow_cytometry_result/D137 - New Treg Thymus Stain D137 12-9-2013--Specimen_001_Thymus.622941.fcs","cluster148","CD103-|CD127+|CD25-|CD45RA+|CD8+|CTLA-4+|FOX-P3-","D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_Spleen.623204.fcs",49771.798828125,41084.5,77754.609375,23750.189453125,22075.5,68897.671875,1.72859054803848,3.31072795391083,1.79337990283966,6.2022979259491,3.66730976104736,2.20798516273499,-1.43011820316315,0.607400178909302,2.79978406429291,1.38914483785629,1.72476053237915,2919.40002441406,0.066
"Thymus","SDY1097/ResultFiles/Flow_cytometry_result/D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_Thymus.623205.fcs","cluster148","CD103-|CD127+|CD25-|CD45RA+|CD8+|CTLA-4+|FOX-P3-","D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_Thymus.623205.fcs",131810.4921875,108538.5,79026.76953125,19761.2958984375,18139,73173.171875,2.06767022609711,3.4883451461792,2.01218593120575,6.18998503684998,4.11726999282837,2.42175960540771,-1.30529427528381,1.8024497628212,2.76450645923615,1.99100196361542,1.86053538322449,16423,0.032
"Thymus","SDY1097/ResultFiles/Flow_cytometry_result/D107 Treg Stain 5-6-2014--Specimen_001_Thymus.622748.fcs","cluster149","CD25-|CD69-|CD8-|CTLA-4-","D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_Jejunum.623202.fcs",83254.9453125,76068,73551.71875,27210.41015625,24865,70573.90625,1.17486464977264,-0.758925437927246,1.21160435676575,1.67885804176331,2.06843066215515,0.554359674453735,0.665442287921906,0.173461690545082,-0.600831866264343,0.736854255199432,1.36537456512451,6771,0.0082
"Thymus","SDY1097/ResultFiles/Flow_cytometry_result/D129 - New Treg Thymus Stain D129 10-25-2013--Specimen_001_Thy.622909.fcs","cluster149","CD25-|CD69-|CD8-|CTLA-4-","D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_MLN.623203.fcs",13429.5693359375,12620,67484.0390625,6248.5498046875,6501,64584.625,0.459656924009323,-1.80267453193665,0.447735071182251,0.600478231906891,1.10760152339935,0.678840637207031,0.669485628604889,0.415540158748627,-0.968047320842743,0.498635232448578,0.757525086402893,19748.5,0.031
"Thymus","SDY1097/ResultFiles/Flow_cytometry_result/D137 - New Treg Thymus Stain D137 12-9-2013--Specimen_001_Thymus.622941.fcs","cluster149","CD25-|CD69-|CD8-|CTLA-4-","D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_Spleen.623204.fcs",29226.599609375,27365,72723.53125,18290.640625,18129,65595.2734375,1.1178206205368,-1.99768912792206,0.732196390628815,1.7164009809494,1.9379848241806,0.984081983566284,0.789344131946564,0.371440976858139,-1.04331016540527,1.11641561985016,1.11716413497925,2866.60009765625,0.0558
"Thymus","SDY1097/ResultFiles/Flow_cytometry_result/D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_Thymus.623205.fcs","cluster149","CD25-|CD69-|CD8-|CTLA-4-","D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_Thymus.623205.fcs",23849.640625,24253,73585.4140625,11358.05078125,11149,65099.37890625,0.791095495223999,-1.88882768154144,0.48131251335144,1.10322737693787,0.963160395622253,0.661069869995117,0.817970871925354,0.623833835124969,-0.992898881435394,0.92508989572525,0.885913252830505,16120.099609375,0.0658
"Thymus","SDY1097/ResultFiles/Flow_cytometry_result/D107 Treg Stain 5-6-2014--Specimen_001_Thymus.622748.fcs","cluster150","CD103+|CD127-|CD25-|CD8+|CTLA-4+|FOX-P3-|KI67+","D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_Jejunum.623202.fcs",90154.015625,75994,76766.3671875,44912.6796875,37888,73785.7265625,2.11693263053894,3.30513906478882,2.53009271621704,3.72504115104675,3.60169553756714,-1.99621689319611,1.76442754268646,1.38207030296326,2.09857964515686,2.74758005142212,2.23452687263489,6587.5,0.069
"Thymus","SDY1097/ResultFiles/Flow_cytometry_result/D129 - New Treg Thymus Stain D129 10-25-2013--Specimen_001_Thy.622909.fcs","cluster150","CD103+|CD127-|CD25-|CD8+|CTLA-4+|FOX-P3-|KI67+","D98 - New Treg Thymus Stain D98 11-22-2013--Specimen_001_MLN.623203.fcs",57908.619140625,47642.5,79747.63671875,21610.5732421875,19181.5,74702.6640625,2.34629476070404,4.97124171257019,3.72449541091919,3.00968599319458,4.15568661689758,-3.2444179058075,1.68652987480164,2.75418281555176,2.31491947174072,4.41872048377991,2.5888055562973,17554.75,0.1128
