"study_id","fcs_files","cluster_id","label","fcs_names","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CCR7","CD45RO","CD69","CD45RA","CD3","CD127","CD31","CD8","CD19","CD4","CD28","TIME","fraction"
"Lung lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D62 CD31 CD28 CD127 Stain 2-5-2013--Specimen_001_LLN.623147.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_Lung.595563.fcs",28526.98046875,25734,69539.2890625,7884.00048828125,7376,68091.0859375,0.352668315172195,-1.3957986831665,0.149131536483765,-0.0397133156657219,0.744720697402954,0.433886468410492,0.128695517778397,0.929068565368652,1.58153641223907,0.661807894706726,-0.835191547870636,16816.19921875,0.041
"Lung lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D68 CD31 CD28 CD127 Stain 2-25-2013--Specimen_001_LLN.623171.fcs","cluster1","CD19+|CD28-|CD31-|CD45RA-|CD45RO-|CD69-","D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_Spleen.595564.fcs",11311.8999023438,10396,72726.4765625,12533.9404296875,11704.5,68751.25390625,0.546869546175003,-1.47632974386215,0.159792304039001,0.157727971673012,0.726810872554779,0.413732185959816,0.130087673664093,0.18227706104517,1.68063586950302,0.53881248831749,-0.895380645990372,12772.900390625,0.0976
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595404.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D51 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Lung.595469.fcs",77975.84765625,68469,75019.4765625,28991.521484375,25014.5,75284.13671875,2.01300716400146,3.37569856643677,2.91917061805725,0.895751029253006,3.73600029945374,2.31038784980774,-0.284997031092644,-1.18699479103088,1.19196027517319,3.68669986724854,1.16760545969009,3366,0.136
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D25 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595411.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_Blood.595551.fcs",65049.779296875,57543,74529.16015625,30903.12109375,27122.5,74970.14453125,2.39314115047455,4.05557727813721,3.08975481987,1.80701214075089,4.16001343727112,2.93330788612366,-0.259848952293396,-1.3378643989563,1.67250514030457,4.01487612724304,1.62585765123367,8980.4501953125,0.0696
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D30 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595417.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_ILN.595553.fcs",68705.3359375,60996,74122.1171875,29765.880859375,25848,74495.2890625,2.15741324424744,2.87433624267578,2.27714276313782,0.401625484228134,2.52809286117554,2.00582242012024,-0.0219444073736668,-1.44009649753571,1.17577564716339,4.24699687957764,1.34743988513947,3419.19995117188,0.089
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D51 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595468.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","Specimen_001_LLN A2 antibody.595554.fcs",70761.8984375,62233,74053.6953125,26036.640625,23487,70889.3515625,1.77911198139191,2.83408641815186,1.92047452926636,0.744336664676666,2.94334244728088,2.59193277359009,-0.434759974479675,-1.25976204872131,1.04550850391388,4.0152473449707,1.25839304924011,1865.09997558594,0.1738
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/Specimen_001_LLN A2 antibody.595554.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_LLN.595555.fcs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_LLN.595555.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_Lung.595556.fcs",76129.1953125,62549,72069.3671875,30026.341796875,30327,64587.11328125,2.53234648704529,2.51306986808777,0.981251239776611,1.03862237930298,2.30358505249023,2.27016854286194,-0.185855761170387,-0.477814763784409,0.364850550889969,3.69559836387634,1.12139225006104,6144.10009765625,0.0326
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_LLN.595562.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_Spleen.595557.fcs",77519.3984375,68995,72461.5625,27406.98046875,26889,67164.171875,2.24003267288208,2.39887666702271,2.3791606426239,1.31596267223358,2.38862371444702,2.13057661056519,0.0347900204360485,-0.646327316761017,0.444712400436401,3.54266715049744,0.999934017658234,7655.60009765625,0.0578
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D70 CD31 CD28 CD127 Stain 1-10-2013--Specimen_001_LLN.595568.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_Blood.595559.fcs",99844.91796875,91345.5,71167.6640625,23965.861328125,23672,65646.75,1.48265147209167,3.44011497497559,2.63638854026794,0.881261736154556,3.5174013376236,2.64025866985321,0.339321002364159,-0.757401436567307,0.818437039852142,3.73927795886993,1.06005799770355,8107.25,0.0392
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D83 CD31 CD28 CD127 Stain 3-28-2013--Specimen_001_LLN.595585.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_ILN.595561.fcs",57196.23046875,51446.5,72816.0546875,32074.921875,28352,75092.1875,2.13204288482666,2.62626469135284,1.07346481084824,4.14143443107605,3.59617972373962,1.314417719841,0.403227210044861,-0.901351481676102,1.59441536664963,3.84136402606964,1.2579043507576,4631.85009765625,0.0304
"Lung lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D60 CD31 CD28 CD127 Stain 2-7-2013_001--Specimen_001_LLN.623139.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_LLN.595562.fcs",113797.9609375,98132,74852.15625,30381.48046875,25001,76729.7578125,1.8893324136734,2.13992667198181,1.3964581489563,2.73386335372925,2.44618463516235,1.82446920871735,-0.147590219974518,-1.25829184055328,0.670113682746887,3.90204405784607,0.968384802341461,1637,0.1014
"Lung lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D62 CD31 CD28 CD127 Stain 2-5-2013--Specimen_001_LLN.623147.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_Lung.595563.fcs",57925.619140625,52245.5,72082.56640625,23050.44140625,21429.5,71012.94140625,1.60115617513657,2.26850426197052,1.63454133272171,2.35592103004456,3.35461819171906,1.14446896314621,0.309103742241859,-0.796319007873535,0.742676794528961,3.78814673423767,0.911898225545883,15042.75,0.0408
"Lung lymph node","SDY1097/ResultFiles/Flow_cytometry_result/D68 CD31 CD28 CD127 Stain 2-25-2013--Specimen_001_LLN.623171.fcs","cluster2","CD3+|CD31-|CD4+|CD45RO+|CD8-","D67 CD31 CD28 CD127 Stain 1-3-2013--Specimen_001_Spleen.595564.fcs",60057.62109375,52396,75352.46875,45348.12109375,40182,72938.296875,1.99994254112244,2.65274214744568,1.57439601421356,1.57618606090546,3.51581811904907,0.824120283126831,0.097728043794632,-0.954108059406281,1.39796078205109,3.88533711433411,1.5664085149765,12220.5,0.0206
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D22 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595404.fcs","cluster3","CD127-","D51 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_Lung.595469.fcs",29958.69921875,25732,74305.40625,29232.361328125,25319,74149.203125,1.08077037334442,1.25876188278198,0.47241872549057,0.27283564209938,1.96544504165649,-0.761793076992035,0.450202584266663,0.394263714551926,0.989650964736938,0.737421333789825,0.238376528024673,3465.80004882812,0.4666
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D25 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595411.fcs","cluster3","CD127-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_Blood.595551.fcs",18304.0390625,16336,72632.7421875,23683.3203125,20810,72603.9453125,0.794387936592102,1.45166909694672,0.360638052225113,0.186278134584427,1.48467218875885,-0.767720520496368,0.930609166622162,0.0701159536838531,1.07621419429779,0.982686758041382,0.312892645597458,8800.400390625,0.4242
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D30 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595417.fcs","cluster3","CD127-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_ILN.595553.fcs",48397.21875,42298,73173.7421875,26700.841796875,23744,72420.078125,0.921825408935547,-0.662025034427643,0.329454332590103,1.21724367141724,1.58832561969757,-0.420531183481216,0.838162958621979,0.0981205329298973,1.49267649650574,0.345326334238052,0.168199926614761,3349.30004882812,0.5622
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D51 CD31 CD28 CD127 Stain 2-11-2013--Specimen_001_LLN.595468.fcs","cluster3","CD127-","Specimen_001_LLN A2 antibody.595554.fcs",20665.640625,18257,71389.6328125,30922.560546875,27787,69484.7890625,0.576433837413788,0.335408598184586,0.279619038105011,0.06483543664217,1.61552739143372,-0.726407408714294,-0.158512830734253,0.177001059055328,0.87788313627243,0.182657703757286,0.124515160918236,1813.40002441406,0.529
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/Specimen_001_LLN A2 antibody.595554.fcs","cluster3","CD127-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_LLN.595555.fcs",87545.640625,76683,72541.2578125,30935.841796875,30227,65945.015625,3.96142482757568,0.846181392669678,0.44252273440361,0.120734751224518,1.95120406150818,-0.816868126392365,-0.187167569994926,0.50542801618576,1.47734296321869,-0.0158609729260206,0.233051672577858,1644.09997558594,0.9846
"Lung lymph node","SDY702/ResultFiles/Flow_cytometry_result/D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_LLN.595555.fcs","cluster3","CD127-","D66 CD31 CD28 CD127 Stain 12-17-2012--Specimen_001_Lung.595556.fcs",84897.95703125,74254,72178.421875,29883.49609375,29692.5,65232.505859375,1.6187704205513,0.809086591005325,0.692113995552063,2.95148742198944,1.64957469701767,-0.619167506694794,2.02332580089569,0.431590139865875,2.02490794658661,0.279985427856445,0.308306813240051,6077.75,0.608
